Component,Cumulative Explained Variance
1,0.07147779427815788
2,0.11270307706589652
3,0.14789094708382738
4,0.17694911107836078
5,0.20358737050059353
6,0.22622856908400596
7,0.24761086916477892
8,0.2685906861390014
9,0.2883384431133803
10,0.30649813419047445
11,0.3234011052928545
12,0.34000207384577746
13,0.3564466636481993
14,0.371001092133878
15,0.38550868740293087
16,0.3983675501373824
17,0.4106822302840713
18,0.42252446097392643
19,0.4342354435404803
20,0.44543609108610577
21,0.45633110501898266
22,0.4665807458158367
23,0.4765169585581361
24,0.48614668085070256
25,0.49551629641489264
26,0.5044581320193523
27,0.5132694469775269
28,0.5217629441328716
29,0.5300364421289269
30,0.5381754174861381
31,0.5460755181011743
32,0.5538859071472335
33,0.5613368282585368
34,0.5685663979630454
35,0.5757318782951836
36,0.5828055197148249
37,0.5895290151045514
38,0.596168306110759
39,0.6026811839201061
40,0.6089696909411025
41,0.615130410733884
42,0.6212428609368281
43,0.6271515710596591
44,0.6328281948781308
45,0.638466687818101
46,0.6439718670128739
47,0.6494522272303022
48,0.6547890490073756
49,0.6599152639339064
50,0.6649255124970661
51,0.6698215199953809
52,0.6746634324505376
53,0.6794412431596432
54,0.6840502741857901
55,0.6886271663730122
56,0.6931492148987913
57,0.6976253349497579
58,0.702034430609369
59,0.7063541156930688
60,0.7106352899082854
61,0.7148157708957297
62,0.7189415869098914
63,0.7230158108602495
64,0.7269558027527595
65,0.7308536758442714
66,0.7346968031004723
67,0.7384573712624148
68,0.7421427386099197
69,0.745753929410367
70,0.7493316404138185
71,0.7528704325512595
72,0.756340442231146
73,0.7597457096378586
74,0.7631322923242457
75,0.7664396740216907
76,0.7697056618353617
77,0.7729083572364648
78,0.7760344431391155
79,0.7791216264384432
80,0.7821365754680558
81,0.7851006381811232
82,0.7880387830979857
83,0.7909014739238774
84,0.7937627926931893
85,0.796588126759675
86,0.799394364102096
87,0.8021065551871448
88,0.8047891392815324
89,0.8074009209970789
90,0.8099975661409059
91,0.8125694585667593
92,0.815103383711364
93,0.8175841436034359
94,0.82000934834947
95,0.8224084307480689
96,0.8247805460697378
97,0.8271148758511694
98,0.8294231528868282
99,0.8316971804323045
100,0.8339495298160482
101,0.8361731350905955
102,0.8383650167780201
103,0.8405333226679643
104,0.8426874566438355
105,0.844809398605267
106,0.8469259677625206
107,0.8489960860391299
108,0.85105946792015
109,0.8530919397501593
110,0.8551155791552731
111,0.857070815246601
112,0.8590118824367735
113,0.860935040632913
114,0.8628271627366076
115,0.8646970073500605
116,0.8665581226774476
117,0.8683881215497558
118,0.8701897012930547
119,0.8719837693774923
120,0.8737374423156845
121,0.8754743752966297
122,0.8771887210658661
123,0.8788624997350409
124,0.8805226304436826
125,0.8821690758030394
126,0.8837916015236892
127,0.8853906915391664
128,0.8869738318950282
129,0.8885287963880565
130,0.8900620414854198
131,0.8915841975084147
132,0.8930873607954672
133,0.8945813625446689
134,0.8960458419212745
135,0.8974956509143232
136,0.898924884259326
137,0.9003228981382518
138,0.9017144015262516
139,0.9030924982667115
140,0.9044655672907649
141,0.9058132857630151
142,0.9071528498585785
143,0.9084680225312968
144,0.9097628032410917
145,0.9110418728640901
146,0.9123049092163957
147,0.9135387812758377
148,0.9147550899860056
149,0.9159615911085236
150,0.9171458091417791
151,0.9183176248736237
152,0.9194726443765896
153,0.9206114836071834
154,0.9217323633229398
155,0.9228438902057725
156,0.9239477196778881
157,0.9250284362183909
158,0.9261063053669879
159,0.9271651428945447
160,0.9282206601227052
161,0.9292531732355735
162,0.9302787030956338
163,0.9312856854421271
164,0.9322881129713269
165,0.933283598114276
166,0.9342592207397477
167,0.9352241955988618
168,0.9361761563159813
169,0.9371173733427374
170,0.9380555908912116
171,0.938968795450125
172,0.939878919714205
173,0.940778668248638
174,0.9416586180147754
175,0.9425293551197581
176,0.9433801489306974
177,0.9442289313971342
178,0.9450692628224203
179,0.945897735045975
180,0.9467054902431878
181,0.9475117830176405
182,0.9483111169354307
183,0.9490956068841834
184,0.9498723645364341
185,0.9506313710919206
186,0.951382232972992
187,0.9521226781584555
188,0.9528588621904325
189,0.9535881035317013
190,0.9543097387396496
191,0.9550190057242001
192,0.9557191760854267
193,0.9564097628882084
194,0.9570849852170308
195,0.9577586231835754
196,0.95841994670848
197,0.959078671121116
198,0.9597248000246084
199,0.9603653786709921
200,0.9609945594263074
201,0.9616151803028482
202,0.96222880066583
203,0.962837046822102
204,0.9634448240114745
205,0.9640359720254511
206,0.9646231370716801
207,0.9652024620530014
208,0.9657719185723449
209,0.9663319827203476
210,0.9668738099438243
211,0.967413459424451
212,0.9679505666186194
213,0.9684767955037764
214,0.9689960951883481
215,0.9694978331639622
216,0.9699976547825249
217,0.9704948656794585
218,0.9709854655092114
219,0.9714645310696458
220,0.9719397222476432
221,0.9724044869603087
222,0.972864263253389
223,0.9733197811934606
224,0.9737732846169403
225,0.9742174690050096
226,0.974654865931745
227,0.975089972121157
228,0.9755116337032251
229,0.9759320514030967
230,0.9763486898868233
231,0.9767606160257907
232,0.9771612060656206
233,0.9775555814535509
234,0.977946473196628
235,0.9783334585875332
236,0.9787146429196056
237,0.9790924758995379
238,0.9794682685545991
239,0.9798339964494365
240,0.9801950736439672
241,0.9805510634085068
242,0.9809013737015161
243,0.9812434119542603
244,0.9815842116387377
245,0.9819217977399208
246,0.9822544687139643
247,0.9825813963386854
248,0.9829076462277054
249,0.9832284202865699
250,0.9835475024631911
251,0.983854977413446
252,0.9841589486801707
253,0.9844577909212613
254,0.9847532609996925
255,0.9850426907785602
256,0.9853297873757928
257,0.9856126565774348
258,0.9858898964590651
259,0.9861629398173808
260,0.986430827838757
261,0.986697236624308
262,0.986957012669873
263,0.9872158114613656
264,0.9874666642378442
265,0.9877151846343817
266,0.9879581677250341
267,0.9881983753431626
268,0.9884368725914061
269,0.9886734775855719
270,0.9889031796274608
271,0.9891264538154984
272,0.9893470251686145
273,0.9895655018927324
274,0.9897826165765765
275,0.9899923419355565
276,0.9902014095283456
277,0.9904025593139375
278,0.9905996143703152
279,0.9907950097368223
280,0.9909871164060493
